#5242
21
#inobs
74 263 771 550 192  44   7   4   6  14 114 186 170 110 134  82 457 523 588 647 306
#YEAR RIVER l1 l2 dt dl
1992 2 364 368 391 3.74
1992 2 387 390 517 2.12
1992 2 374 381 547 4.67
1992 2 367 369 390 1.87
1992 2 384 385 486 0.75
1992 2 378 379 457 0.8
1992 2 379 384 516 3.54
1992 2 356 355 614 -0.59
1992 2 351 346 459 -3.98
1992 2 346 348 430 1.7
1992 2 344 343 430 -0.85
1992 2 372 378 486 4.51
1992 2 203 240 668 20.23
1992 2 363 371 389 7.51
1992 2 365 370 454 4.02
1992 2 315 320 459 3.98
1992 2 350 351 460 0.79
1992 2 395 395 390 0
1992 2 385 385 384 0
1992 2 330 330 484 0
1992 2 369 375 519 4.22
1992 2 380 385 430 4.25
1992 2 362 362 427 0
1992 2 377 379 388 1.88
1992 2 341 347 389 5.63
1992 2 296 310 389 13.15
1992 2 358 358 456 0
1992 2 378 380 519 1.41
1992 2 332 345 387 12.27
1992 2 379 374 388 -4.71
1992 2 388 385 388 -2.82
1992 2 394 385 579 -5.68
1992 2 369 375 487 4.5
1992 2 460 446 485 -10.54
1992 2 334 332 544 -1.34
1992 2 393 395 387 1.89
1992 2 360 361 486 0.75
1992 2 373 374 367 1
1992 2 325 344 515 13.48
1992 2 365 368 389 2.82
1992 2 331 335 384 3.8
1992 2 400 404 517 2.83
1992 2 350 351 406 0.9
1992 2 378 370 486 -6.01
1992 2 450 456 663 3.31
1992 2 315 334 521 13.32
1992 2 297 300 454 2.41
1992 2 375 381 423 5.18
1992 2 317 325 453 6.45
1992 2 355 359 430 3.4
1992 2 370 370 516 0
1992 1 350 353 428 2.56
1992 2 324 338 386 13.25
1992 2 320 330 380 9.61
1992 2 288 290 386 1.89
1992 2 361 362 386 0.95
1992 2 368 373 547 3.34
1992 2 319 325 385 5.69
1992 2 247 307 541 40.51
1992 2 403 405 366 2
1992 2 286 313 666 14.81
1992 2 379 381 385 1.9
1992 2 345 360 453 12.09
1992 2 287 307 453 16.13
1992 2 360 356 426 -3.43
1992 2 346 350 450 3.25
1992 2 326 343 576 10.78
1992 2 359 365 512 4.28
1992 2 335 340 661 2.76
1992 2 367 372 422 4.33
1992 2 372 377 626 2.92
1992 2 227 280 542 35.72
1992 2 369 365 480 -3.04
1992 2 377 375 417 -1.75
1992 2 342 345 432 2.54
1992 2 488 390 460 -77.81
1992 2 327 325 418 -1.75
